Question,Scenario,Choice_A,Choice_B,Choice_C,Choice_D,Correct_Answer,Explanation,Source,Topic
Should the court admit the videotape?,"At a man’s trial for public intoxication, the prosecutor offered a videotape of the man being booked into the city jail.  The videotape showed the man hardly able to stand unassisted and badly slurring his words when responding to routine booking questions.","No, because the privilege against self-incrimination applies to the booking process.","No, because the videotape is overly prejudicial.","Yes, because the videotape contains statements by a party-opponent.","Yes, because the videotape is probative of the man's conduct.",D,,In-Class MBE,
Should the court admit this evidence?,"A defendant was charged with conspiracy to possess cocaine with intent to distribute.  While on bail with travel restricted to his home state, he purchased an airplane ticket to another country by using an alias.  At trial, the prosecution seeks to introduce evidence of the defendant's ticket purchase.","No, because the evidence does not make any fact of consequence to the trial more or less probable than it would have been without the evidence.","Yes, because the evidence is relevant both to show the defendant's consciousness of guilt and to show his motive to commit the crime.","Yes, because the evidence is relevant to show the defendant's consciousness of guilt.","Yes, because the evidence is relevant to show the defendant's motive to commit the crime.",C,,In-Class MBE,
Which of the following items of offered evidence is the court most likely to admit?,"A plaintiff has brought a products liability action against a defendant, the manufacturer of a sport-utility vehicle that the plaintiff’s decedent was driving when she was fatally injured in a rollover accident.

The plaintiff claims that a design defect in the vehicle caused it to roll over.  The defendant claims that the cause of the accident was the decedent's driving at excessive speed during an ice storm.  Eyewitnesses to the accident have given contradictory estimates about the vehicle’s speed just before the rollover.  It is also disputed whether the decedent was killed instantly.",A videotape offered by the defendant of a test conducted by the defendant showing that a sport-utility vehicle of the same model the decedent was driving did not roll over when driven by a professional driver on a dry test track at the top speed testified to by the eyewitnesses.,A videotape offered by the plaintiff of a television news program about sport-utility vehicles that includes footage of accident scenes in which the vehicles had rolled over.,Evidence offered by the defendant that the decedent had received two citations for speeding in the previous three years.,Photographs taken at the accident scene and during the autopsy that would help the plaintiff's medical expert explain to the jury why she concluded that the decedent did not die instantly.,D,,In-Class MBE,
Is the statement about the slush in the entryway admissible?,A,"No, because it is a statement made in the course of compromise negotiations.","No, because the manager denied that the slippery condition was the cause of the plaintiff's fall.","Yes, as a statement by an agent about a matter within the scope of his authority.","Yes, because the rule excluding offers of compromise does not protect statements of fact made during compromise negotiations.",A,,In-Class MBE,
Is evidence of the doctor’s offer admissible?,"A patient sued a doctor for medical malpractice for allegedly prescribing an incorrect medication, causing the patient to undergo substantial hospitalization.  When the doctor learned of the medication problem, she immediately offered to pay the patient's hospital expenses.  At trial, the patient offers evidence of the doctor’s offer to pay the costs of his hospitalization.","No, because it is an offer to compromise.","No, because it is an offer to pay medical expenses
","Yes, although hearsay, as a statement against interest
","Yes, as a nonhearsay statement of a party.",B,,In-Class MBE,
Is the pedestrian’s testimony concerning the driver’s statement admissible to prove the driver's liability?,"A pedestrian sued a driver for personal injuries sustained when the driver’s car hit the pedestrian.  Immediately after the accident, the driver got out of his car, raced over to the pedestrian, and said, “Don’t worry, I'll pay your hospital bill.”","No, because it is an offer to pay medical expenses.","No, provided that the driver kept his promise to pay the pedestrian's medical expenses.","Yes, because it is an admission of liability by a party-opponent.","Yes, because it is within the excited utterance exception to the hearsay rule.",A,,In-Class MBE,
Is the certified copy of the guilty plea admissible?,"A pro se defendant was charged with mail fraud.  The defendant pleaded guilty and was sentenced to three years in prison.  In response to the sentence, the defendant stated that he had been induced to plead guilty after the prosecutor assured him that the judge would only impose a three-month sentence and a small fine.  After hearing evidence on the issue, the judge set aside the judgment and allowed the defendant to withdraw the guilty plea.  At trial, the defendant testified to his innocence.  The prosecution now seeks to introduce a certified copy of the guilty plea in which the defendant admitted to mail fraud.","No, because the guilty plea was withdrawn.","No, because the privilege against self-incrimination bars the admission of a prior incriminating statement.","Yes, because a certified guilty plea is a self-authenticating public record.","Yes, to impeach the defendant with a prior inconsistent statement.",A,,In-Class MBE,
Is the proposed cross-examination proper?,"A defendant is charged with conspiracy to sell and distribute cocaine.  The defendant’s attorney contacted the prosecutor to enter plea negotiations.  The prosecutor stated that the defendant would first have to agree that any statements made by the defendant during negotiations could be used to impeach him at trial in the event that a plea bargain could not be reached.  After deliberating with his attorney, the defendant agreed to proceed under those terms, but the negotiations were fruitless.

At trial, the defendant testified as to his lack of involvement in the alleged conspiracy.  The prosecutor now seeks to cross-examine the defendant about a contrary statement that he made during plea discussions.","No, because statements made during plea negotiations cannot be used to impeach a defendant.","No, because the protections for statements made during plea negotiations are not subject to waiver.","Yes, because the defendant and the prosecutor did not reach a plea bargain.","Yes, because the defendant knowingly and voluntarily agreed to waive any protections.",D,,In-Class MBE,
Is the man’s offer admissible at his trial for obstruction of justice?,"After a night of drinking at a bar, a man and his friend got into an argument over a sports team.  The man became so upset that he punched the friend, breaking the friend’s nose.  The man was arrested for battery.  The friend subsequently filed a civil action against the man for battery.  In an attempt to dispose of both the criminal charge and the civil suit, the man offered to settle the civil suit with the friend for $10,000 if the friend would refuse to testify against the man in his criminal trial for battery.  The friend declined and later informed the prosecutor of the man’s offer.  The prosecutor then filed an additional charge of obstruction of justice against the man.","No, because offers of compromise and statements made during compromise negotiations are inadmissible.","No, because the underlying civil dispute did not involve a government regulatory, investigative, or enforcement agency.","Yes, as a statement against interest.","Yes, because offers of compromise are admissible for the limited purpose of proving efforts to obstruct a criminal prosecution.",D,,In-Class MBE,
Is the report admissible?,"A plaintiff, the owner of a motel chain, brought a breach-of-contract action against a defendant, a construction company, in federal court.  The plaintiff alleged that the defendant’s poor workmanship in constructing the plaintiff's new motel led to major defects in the motel's foundation.  The plaintiff further alleged that the defendant knew about the defects but willfully concealed them.

During settlement negotiations, the defendant produced a quality control report that it had created during the motel’s construction but had not previously shared with the plaintiff.  The report indicated that the defendant was aware of the foundation defects, and it included an estimate on the cost of repair.  The defendant relied on the report during the settlement negotiations in order to justify its settlement offer; however, no settlement was reached.

At trial, the plaintiff seeks to introduce the quality control report to establish the issue of willful concealment.","No, because all statements made during settlement negotiations are inadmissible.","No, because the report is hearsay not within any exception.","Yes, because statements made in settlement negotiations are admissible when offered to prove the validity of a claim.","Yes, because the report was created for purposes other than settlement negotiations and is otherwise admissible.",D,,In-Class MBE,
Is the driver’s statement to the woman admissible in the subsequent criminal prosecution?,"A woman brought a wrongful death action against a car driver who hit and killed her husband while her husband was crossing a street.  In settlement negotiations, the driver told the woman that he was sorry for what had happened and that he had been too drunk to drive when he ran into her husband with his car.  The woman and the driver settled the wrongful death action for $1 million.

Subsequently, the driver was charged with reckless homicide of the husband.  At the driver's criminal trial, the prosecutor offered, as evidence of the driver's guilt, the driver’s statement to the woman during settlement negotiations.","No, because it is hearsay not within any exception.","No, because a statement made in civil settlement negotiations between private parties is not admissible to prove the validity of a claim in a subsequent criminal prosecution.","Yes, because a statement made in civil settlement negotiations is admissible in a subsequent criminal prosecution.","Yes, because the statement's probative value outweighs the risk of prejudice and jury confusion.",B,,In-Class MBE,
Is the witness’s testimony admissible?,"A woman is suing a pilot for injuries suffered in the crash of a small airplane, alleging that the pilot had owned the plane and negligently failed to have it properly maintained.  The pilot has asserted in defense that he never owned the plane or had any responsibility to maintain it.  At trial, the woman calls a witness to testify that he had sold to the pilot a liability insurance policy on the plane.","No, because of the rule against proof of insurance where insurance is not itself at issue.","No, because the policy itself is required under the original document rule.","Yes, as some evidence of the pilot's ownership of or responsibility for the airplane.","Yes, to show that the pilot had little motivation to invest money in maintenance of the airplane.",C,,In-Class MBE,
"On cross-examination, should the court allow the plaintiff to elicit from the witness the fact that he is an adjuster for the defendant's insurance company?","A plaintiff sued a defendant, alleging that she was seriously injured when the defendant ran a red light and struck her while she was walking in a crosswalk.  During the defendant’s case, a witness testified that the plaintiff had told him that she was ""barely touched"" by the defendant’s car.","No, because testimony about liability insurance is barred by the rules of evidence.","No, because the reference to insurance raises a collateral issue.","Yes, for both substantive and impeachment purposes.","Yes, for impeachment purposes only.",D,,In-Class MBE,
Is evidence of this change in design admissible?,"A plaintiff sued the manufacturer of a slicing machine for negligent design, after the machine cut off the plaintiff's finger.  The plaintiff claims that while he was cleaning the machine, two wires came into contact with each other and caused the machine to turn on.

At trial, the manufacturer has offered evidence that it was unreasonably expensive to design the machine so that the wires could not come into contact.  In rebuttal, the plaintiff offers evidence that after this action was filed, the manufacturer redesigned the machine to prevent the wires from coming into contact.","No, because the change in design may have been unrelated to this type of accident.","No, under the rule regarding remedial measures that encourages manufacturers to make their products safer.","Yes, as evidence tending to show that the machine could be designed to keep the wires from coming into contact.","Yes, as evidence tending to show that the manufacturer was negligent because its initial design failed to prevent the wires from coming into contact.",C,,In-Class MBE,
Should the court admit the video?,"A woman sued a homeowner, alleging that, while the woman was on her morning walk, a limb fell from a tree on the homeowner's property and hit her.  The woman further alleged that the tree had started to rot, causing the limb to fall, and that the homeowner was negligent in failing to maintain the tree.  The homeowner denied responsibility, claiming that the tree sits on city property.  Over a year later, the case went to trial.  The woman failed to produce a plat map that would have accurately indicated the boundaries of the homeowner’s property.  Instead, while testifying, the woman offered a video that had been taken the week prior and showed the homeowner cutting down the tree, which had entirely rotted by that time.","No, because it constitutes evidence of a subsequent remedial measure.","No, because it is not the best evidence of the tree's location.","Yes, because it helps establish ownership of the tree.","Yes, provided that the woman can show that she was the maker of the video.",C,,In-Class MBE,
How should the court proceed?,A defendant is charged with robbing a bank.  The prosecutor has supplied the court with information from accurate sources establishing that the bank is a federally insured institution and that this fact is not subject to reasonable dispute.  The prosecutor asks the court to take judicial notice of this fact.  The defendant objects.,The court must take judicial notice and instruct the jury that it is required to accept the judicially noticed fact as conclusive.,"The court must take judicial notice and instruct the jury that it may, but is not required to, accept the judicially noticed fact as conclusive.","The court may refuse to take judicial notice, because judicial notice may not be taken of essential facts in a criminal case.","The court must refuse to take judicial notice, because whether a bank is federally insured would not be generally known within the court's jurisdiction.",B,,In-Class MBE,
How should the court respond?,"A defendant is on trial for bank robbery.  Evidence at the trial has included testimony by a bank teller who was present during the robbery.  The teller testified for the prosecution after having refreshed her memory by looking at an FBI agent's investigative report that was created shortly after the robbery.

The defendant has asked to examine the report.",The court may allow the examination if the report was used by the teller to refresh her memory before testifying and must allow it if she used the report during her testimony.,"The court must allow the examination, but only to the extent that the report contains the teller's own statement to the FBI agent.","The court should not allow the examination, because the report was not shown to have been read and approved by the teller while the matter was fresh in her mind.","The court should not allow the examination, unless the report was used by the teller to refresh her memory while on the witness stand.",A,,In-Class MBE,
Is the judge’s testimony regarding the defendant's statement admissible?,"A defendant was charged with murder.  While walking down the hallway of the federal courthouse during a recess in the defendant’s trial, the judge overheard the defendant say to his attorney, “So what if I did it?  There's not enough proof to convict.”  After the judge reported the incident to counsel, the prosecutor called the judge as a witness in the trial.","Yes, as the statement of a party-opponent.","Yes, because the defendant's statement, although otherwise privileged, was made without reasonable efforts to preserve confidentiality.","No, because the statement was a privileged attorney-client communication.","No, because a judge may never testify in a trial over which he or she is presiding.",D,,In-Class MBE,
How is the trial court likely to view the prosecutor’s request to show the witness his notes?,"A witness for the prosecution in a murder case testified on direct examination that she saw the defendant and the victim in a heated argument at a local bar the same night the victim was murdered.  When asked by the prosecutor what time she left the bar, the witness was unable to remember.  The prosecutor seeks to show the witness his handwritten notes of the witness’s pretrial interview during which she stated that she left the bar at 10:00 p.m.",A proper attempt to introduce a recorded recollection.,A proper attempt to refresh the witness's recollection.,An improper attempt to lead the witness.,An improper attempt to support the witness's credibility.,B,,In-Class MBE,
Is the defendant’s testimony admissible or inadmissible?,"A plaintiff sued the defendant for dissolution of their yearlong partnership.  One issue concerned the amount of money the plaintiff had received in cash.  It was customary for the defendant to give the plaintiff money from the cash register as the plaintiff needed it for personal expenses.  The plaintiff testified that, as he received money, he jotted down the amounts in the partnership ledger.  Although the defendant had access to the ledger, she made no changes in it.

The ledger was admitted into evidence.  The defendant seeks to testify to her memory of much larger amounts she had given the plaintiff.","Admissible, because it is based on the defendant's firsthand knowledge.","Admissible, because the ledger entries offered by a party-opponent opened the door.","Inadmissible, because the defendant's failure to challenge the accuracy of the ledger constituted an adoptive admission.","Inadmissible, because the ledger is the best evidence of the amounts the plaintiff received.",A,,In-Class MBE,
Should the son’s testimony be admitted or excluded?,"A defendant is charged with murder in connection with a carjacking incident during which the defendant allegedly shot the victim while attempting to steal his car.  The prosecutor calls the victim’s four-year-old son, whose face was horribly disfigured by the same bullet, to testify that the defendant shot his father and him.","Admitted, provided the prosecutor first provides evidence that persuades the judge that the son is competent to testify despite his tender age.","Admitted, provided there is sufficient basis for believing that the son has personal knowledge and understands his obligation to testify truthfully.","Excluded, because it is insufficiently probative in view of the son's tender age.","Excluded, because it is more unfairly prejudicial than probative.",B,,In-Class MBE,
Is the man’s testimony admissible?,"A man sued a mechanic for injuries suffered in a car accident allegedly caused by brakes that had been negligently repaired by the mechanic.  At a settlement conference, the man exhibited the brake shoe that caused the accident and pointed out the alleged defect to the mechanic’s expert, who had carefully examined the brake shoe.  No settlement was reached.

The man inadvertently lost the brake shoe before trial.  Therefore, the man seeks to testify on the condition of the shoe at trial.","No, because the brake shoe was produced and examined as a part of settlement negotiations.","No, because the disappearance of the brake shoe was the man's fault.","Yes, because the man had personal knowledge of the shoe's condition.","Yes, because the mechanic's expert had been able to examine the shoe carefully.",C,,In-Class MBE,
Is the victim’s testimony admissible?,"A defendant is on trial for extorting $10,000 from her victim.  An issue is the identification of the person who made a telephone call to the victim.  The victim is prepared to testify that the caller had a distinctive accent like the defendant’s, but that he cannot positively identify the voice as the defendant’s.

The victim recorded the call but has not brought the tape to court, although its defendant is aware of its existence.","No, because the tape recording of the conversation is the best evidence.","No, because the victim cannot sufficiently identify the caller.","Yes, because the defendant waived the ""best evidence"" rule by failing to subpoena the tape.","Yes, because the victim's lack of certainty goes to the weight to be given the victim's testimony, not to its admissibility.",D,,In-Class MBE,
Should the defendant’s cross-examination of the manager be permitted over the plaintiff’s objection?,"A plaintiff sued a defendant for injuries allegedly suffered when he slipped and fell on the defendant’s business property.

At trial, without asking that the defendant’s property manager be declared a hostile witness, the plaintiff called him solely to establish that the defendant was the owner of the property where the plaintiff fell.  On cross-examination of the manager, the defendant’s attorney sought to establish that the defendant had taken reasonable precautions to make the property safe for business invitees.","No, because cross-examination should be limited to the subject matter of the direct examination and matters affecting the credibility of the witness.","No, because the court has not declared the manager hostile.","Yes, because the cross-examiner is entitled to explore matters relevant to any issue in the case, including credibility.","Yes, because the manager is the agent of a party, as to whom the scope of cross-examination is unlimited.",A,,In-Class MBE,
How should the court rule on the prosecutor’s objection?,"A defendant is on trial for the burglary of a small-town jewelry store.  The prosecution called a witness to testify that, on the night of the burglary, the witness was leaving a diner located behind the jewelry store and saw a man who she is certain was the defendant exit the jewelry store carrying a knapsack.  On cross-examination, the defendant’s attorney confronted the witness about the lack of artificial lighting behind the jewelry store and in its immediate vicinity.  The defendant’s attorney asked the witness how she could be certain that the person she saw was the defendant.  The witness responded that the moon was full and provided enough light for her to see the defendant clearly.

The defendant’s attorney provided the court with data from the U.S. Naval Observatory stating that, on the night of the burglary, there was a new moon, which is not illuminated and therefore provides no light.  The attorney then requested that the court take judicial notice of this fact.  The prosecutor has objected to the defense attorney's request.",Overrule the objection.,"Sustain the objection, because judicial notice is not an appropriate method to establish the phases of the moon.","Sustain the objection, because the data is hearsay.","Sustain the objection, because the moon's phase on the night in question is irrelevant.",A,,In-Class MBE,
Is the prosecution’s request for judicial notice proper?,"A defendant was indicted on two counts of grand larceny, which occurred near a U.S. canal located between two foreign countries.  At the bench trial in federal district court, the prosecution provided direct evidence of the locations of the thefts but provided no evidence that those locations were within the U.S. canal.  The defendant was found guilty of grand larceny.

On appeal, the defendant has argued that the prosecution failed to establish that the trial court had jurisdiction because there was no evidence that the charged offenses were committed within the boundaries of the United States.  The prosecution has requested that the appellate court take judicial notice of the boundaries of the canal zone.  The appellate court has been furnished with official government maps of the boundaries between the U.S. canal and the foreign countries that identify the general area where the offenses occurred.","No, because a court cannot take judicial notice of jurisdictional boundaries that are determinative of its subject-matter jurisdiction.","No, because taking judicial notice of jurisdictional boundaries for the first time on appeal violates the defendant's right to confrontation.","Yes, because a party is entitled to an opportunity to be heard on the propriety of taking judicial notice and tenor of the matter to be noticed.","Yes, because judicial notice may be taken at any stage of this proceeding.",D,,In-Class MBE,
Should the court allow the elderly woman to testify?,"A defendant is on trial in federal court for fraudulently inducing an elderly woman to invest her life savings in an investment fund managed by the defendant.  The prosecutor has disclosed that the elderly woman suffers from dementia and seeks to call her as a witness.  The court, upon its own motion, conducted a competency hearing outside the presence of the jury.  At the hearing, the woman gave her personal and family history but could not recall her age, address, or level of education.  The woman was also unable to recall the current day, month, or year.  However, she was able to understand the difference between the truth and a lie and appreciated the importance of being honest.  The woman was also aware that she was in court because her savings had been depleted.  When asked if she recognized the defendant, the woman stated that she was sure she had met the defendant but could not recall where.","No, because due to her dementia, the woman's testimony will not be helpful to the trier of fact.","No, because the woman could not sufficiently identify the defendant as a person connected with the crime.","Yes, because a crime victim cannot be precluded from testifying against her perpetrator.","Yes, because the woman meets the minimum standards for witness competency.",D,,In-Class MBE,
Is the court of appeals likely to overturn the defendant's conviction on this basis?,"A defendant was charged with possession of a prohibited firearm after a sawed-off shotgun was found in his vehicle during a routine traffic stop.  At trial, the prosecutor called the officer who stopped the defendant’s vehicle and questioned him about the basis for the traffic stop and the subsequent discovery of the shotgun.  Thereafter, the defendant’s attorney cross-examined the officer.  To clarify the officer’s testimony, the court then asked the officer several questions about the discovery of the shotgun that had not been asked by either party.  The court excused the officer after giving each attorney a chance for further examination.

Later, while the jury was on its lunch break, the defendant’s attorney objected to the court’s questioning of the officer.  The attorney requested that the court's examination be stricken from the record and that the jury be instructed to disregard it.  The court overruled the objection and denied the request.  The defendant was subsequently convicted.  On appeal, the defendant argues that the court's questioning of the officer was improper.","No, because a trial court may examine a witness for the purpose of clarifying the witness's testimony.","No, because the defendant's attorney failed to timely object to the court's questioning of the officer.","Yes, because in order to maintain neutrality, a trial judge may not examine a witness.","Yes, because the court did not give the defendant notice of its intent to examine the officer.",A,,In-Class MBE,
Should the officer’s testimony concerning the defendant’s recorded confession be admitted?,"A defendant was charged with burglary.  At trial, a police officer testified that, after the defendant had been arrested and had agreed to answer questions, the officer interrogated him with a stenographer present, but that the officer could not recall what the defendant had said.  The prosecutor presented the officer with a photocopy of the stenographic transcript of the interrogation.  After looking at it, the officer began to testify that he recalled that the defendant had admitted to being in the area of the burglary.

The defendant has objected to the officer's testimony on the ground that it violates the “original document” rule (also known as the “best evidence” rule).","No, because a photocopy cannot be used without a showing that the original is unavailable.","No, because the stenographer has not testified to the accuracy of the transcript.","Yes, because a photocopy is a duplicate of the original.","Yes, because the prosecutor is not attempting to prove the contents of the document.",D,,In-Class MBE,
Is the evidence about the prosecutor's promise to the witness admissible?,"A defendant was charged with murder, and a witness testified for the prosecution.  On cross-examination of the witness, the defendant seeks to elicit an admission that the witness was also charged with the same murder and that the prosecutor told her, “If you testify against the defendant, we will drop the charges against you after the conclusion of the defendant's trial.”","No, because the evidence is hearsay not within any exception.","No, because the law encourages plea-bargaining.","Yes, as an admission by an agent of a party-opponent.","Yes, as proper impeachment of the witness.",D,,In-Class MBE,
Is the testimony of the police officer about the prior drug transaction admissible to impeach the defendant?,"A defendant was charged with possession of marijuana with intent to distribute.  On direct examination, the defendant testified that he worked with disadvantaged children as a drug counselor, that he hated drugs, that he would “never possess or distribute drugs,” and that he had never used drugs and would not touch them.

The government offered as a rebuttal witness a police officer who would testify that, three years earlier, she saw the defendant buy cocaine from a street dealer.  The defendant objected.","No, because it is contradiction on a collateral matter.","No, because the bad act of buying drugs is not sufficiently probative of a witness's character for truthfulness.","Yes, because it is proper contradiction.","Yes, because the bad act shows a disregard for the law and makes it less likely that the defendant would respect the oath of truthfulness.",C,,In-Class MBE,
Is this question proper?,"
In an automobile negligence action by the plaintiff against the defendant, a witness testified for the plaintiff.  The defendant later called his own witness, who testified that the plaintiff’s witness’s reputation for truthfulness was bad.

On cross-examination of the defendant’s witness, the plaintiff's counsel asks, “Isn’t it a fact that when you bought your new car last year, you made a false affidavit to escape paying the sales tax?”","No, because character cannot be proved by specific instances of conduct.","No, because one cannot impeach an impeaching witness.","Yes, because it bears on the credibility of the defendant's witness.","Yes, because it will indicate the defendant's witness's standard of judgment as to reputation for truthfulness.",C,,In-Class MBE,
Should the court permit the question?,"A defendant is charged with mail fraud.  At trial, the defendant has not taken the witness stand, but he has called a witness who has testified that the defendant has a reputation for honesty.  On cross-examination of the witness, the prosecutor seeks to ask her, “Didn’t you hear that two years ago the defendant was arrested for embezzlement?”","No, because the defendant has not testified and therefore has not put his character at issue.","No, because the incident was an arrest, not a conviction.","Yes, because it seeks to impeach the credibility of the witness.","Yes, because the earlier arrest for a crime of dishonesty makes the defendant's guilt of the mail fraud more likely.",C,,In-Class MBE,
Is the woman’s statement to the police officer admissible to prove that the defendant sold cocaine?,"A defendant has been charged with selling cocaine.  On the night of the alleged sale, a police officer arrested a woman and found a large package of cocaine in her car.  The woman was brought to the police station for questioning.  During her interrogation, she admitted to a police officer that she had sold cocaine and said that she had obtained the cocaine from the defendant, who was a local supplier.

By the time of the defendant’s trial, the woman has left the country.  The prosecutor calls the police officer to testify that the woman told him that the defendant was her cocaine supplier.  The defendant’s attorney objects.","No, because it is hearsay not within any exception.","No, because the prosecutor has not shown that the woman's attendance at trial could not have been procured through process or other reasonable means.","Yes, as the statement of the defendant's coconspirator.","Yes, as the woman's declaration against penal interest.",A,,In-Class MBE,
Is the manager’s testimony admissible or inadmissible?,"At the defendant’s trial for burglary, a witness supported the defendant’s alibi that they were fishing together at the time of the crime.  On cross-examination, the witness was asked whether his statement on a credit card application that he had worked for his present employer for the last five years was false.  The witness denied that the statement was false.

The prosecutor then calls the manager of the company for which the witness works to testify that although the witness had been first employed five years earlier and is now employed by the company, there had been a three-year period during which he had not been so employed.
","Admissible, as a matter of right, because the witness ""opened the door"" by his denial on cross-examination.","Admissible, in the judge's discretion, because the witness's credibility is a fact of major consequence to the case.","Inadmissible, because the misstatement by the witness could have been caused by misunderstanding of the application form.","Inadmissible, because whether the witness lied in his application is a matter that cannot be proved by extrinsic evidence.",D,,In-Class MBE,
Is the prosecutor’s proposed cross-examination proper?,"At a defendant’s trial for burglary, the defendant has called a witness who has testified without objection that the defendant said shortly after his arrest, “They’ve got the wrong person for this because I have an alibi.”  The prosecutor seeks to cross-examine the witness about why she did not mention that statement when the police asked her whether the defendant had said anything to her about having an alibi.","No, because the witness's character for truthfulness cannot be attacked by specific instances of conduct.","No, because the witness's failure to mention the alibi is collateral.","Yes, as impeachment for bias and interest.","Yes, as impeachment for prior inconsistency.",D,,In-Class MBE,
